903.79, 134.16
4147.13, 67.28
1092.83, 123.15
971.27, 130.31
971.50, 120.15
1105.21, 136.19
902.56, 131.97
874.71, 125.97
1173.80, 95.54
1048.77, 134.57
1062.82, 131.43
1003.40, 132.97
1026.91, 132.87
911.24, 130.70
922.28, 122.06
1054.16, 110.38
1317.15, 85.39
1113.41, 133.39
913.68, 133.44
940.47, 135.98
990.66, 137.12
1098.56, 135.98
1152.22, 133.28
906.51, 131.73
1063.23, 128.97
881.60, 133.05
987.25, 125.22
986.28, 124.47
1034.52, 110.49
1084.43, 113.57
1161.30, 97.20
1097.92, 90.49
1441.95, 81.46
